Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Агдаш,ресторан,Рестораны; Банкетные залы,"улица Абдуллы Курбанова, 1а",,423826,,,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,5.0,12,89270308537,,,,,http://agdash.ru,,,https://vk.com/agdash116,https://wa.me/79270308537,,,,,,55.788705,52.434123,https://2gis.com/firm/70000001066367460,branch
Ак пиала,чайхана,Рестораны; Доставка еды,"41-й комплекс, 19а",2 этаж,423832,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.3,212,89520331110,,,,,,,,https://vk.com/ak_piala,https://wa.me/79179191835,https://wa.me/79520331110,,,,,55.736347,52.387896,https://2gis.com/firm/70000001018162280,branch
Арба,ресторан,Рестораны; Банкетные залы,"площадь Лемаева, 6",,423577,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00,+03:00,4.5,101,88555422311,89872377720,,arbaarba@yandex.ru,,,,,https://vk.com/restoran_arba,https://wa.me/79872377720,,,https://t.me/+79872377720,,,55.637406,51.821265,https://2gis.com/firm/4081915443465556,branch
Аркадия,ресторан,Рестораны,"проспект Победы, 1/13",,423523,,,Заинск,Заинский район,Республика Татарстан,Россия,,+03:00,4.2,13,,,,,,,,,,,,,,,,55.291093,51.994981,https://2gis.com/firm/70000001031038603,branch
Астория,ресторан,Рестораны; Банкетные залы,"улица Максима Горького, 107а",,423605,,,Елабуга,Елабужский район,Республика Татарстан,Россия,Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 13:00-01:00; Сб: 13:00-01:00; Вс: 11:00-23:00 (до последнего гостя),+03:00,4.6,57,89178702100,,,,,,,,https://vk.com/astoriarestaurant1,https://wa.me/79178702100,,,,,,55.761677,52.071618,https://2gis.com/firm/70000001019864103,branch
АшСу,татарский дом кухни,Рестораны; Банкетные залы; Кейтеринг; Кафе,"1-й комплекс, 1",2 этаж,423810,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-20:30; Вт: 11:00-20:30; Ср: 11:00-20:30; Чт: 11:00-20:30; Пт: 11:00-24:00; Сб: 12:00-24:00; Вс: 12:00-18:00,+03:00,4.7,96,89393808778,89196805887,88552396840,zao-ashsu@mail.ru,,http://ashsu.ru,,,,https://wa.me/79196805887,,,,,,55.741562,52.425753,https://2gis.com/firm/4081915443291463,branch
Бай Бабай,ресторан татарской и русской кухни,Рестораны; Банкетные залы; Кафе,"Центральная улица, 78",,423802,ГЭС пос.,Комсомольский район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.8,54,89270490927,,,bai-babai@inbox.ru,,http://байбабай.рф,,,,https://wa.me/79270490927,,,https://t.me/+79270490927,,,55.699988,52.315076,https://2gis.com/firm/70000001109636455,branch
Бакинский дворик,ресторан,Рестораны,"Казанский проспект, 154",1 этаж,423806,ЗЯБ пос.,Комсомольский район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 12:00-24:00,+03:00,4.6,216,88552440222 (отдел бронирования столов),,,,,,,,https://vk.com/club32311580,,,,,,,55.691732,52.359479,https://2gis.com/firm/4081915443413618,branch
Балаган,,Рестораны; Караоке-залы; Бары; Ночные клубы,"проспект Хасана Туфана, 14",,423810,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пт: 18:00-06:00; Сб: 18:00-06:00,+03:00,4.9,215,89005267878,,,,,http://balagan-karaoke.ru,,,,,,,,,,55.741551,52.413716,https://2gis.com/firm/70000001101892889,branch
Бартон,ресторан-пивоварня,Рестораны; Доставка еды,"56-й комплекс, 16",цокольный этаж,423812,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 15:00-23:00; Вт: 15:00-23:00; Ср: 15:00-23:00; Чт: 15:00-23:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-23:00 (служба доставки: пн-вс 11:00-22:00),+03:00,4.5,178,89270373799,,,,,http://barton.qr-cafe.ru,http://max.ru/id165016843101_biz,,https://vk.com/bartonpub_nch,https://wa.me/79270373799,,,,,,55.72699,52.401904,https://2gis.com/firm/70000001057433546,branch
Бастион,ресторан,Рестораны; Банкетные залы,"улица Гагарина, 40а",цокольный этаж,423582,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 15:00-23:00,+03:00,4.8,4,88555367000,89172387677,,,,http://olivia-nk.ru/bastion,,,https://vk.com/restoranbastion,https://wa.me/79172387677,,,,,,55.652453,51.850692,https://2gis.com/firm/4081915443489272,branch
Бахор,ресторан,Рестораны; Доставка еды,"Юности, 14Б",,423578,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (служба доставки: пн-вс 10:00-22:00),+03:00,3.0,77,89178826742,,,,,,,,https://vk.com/bahor_nizhnekamsk,https://wa.me/79178826742,,,,,,55.625943,51.806877,https://2gis.com/firm/4081915443471635,branch
Бинхартс гранд,ресторан,Рестораны,"проспект Чулман, 87а",3 этаж,423832,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,4.9,1389,89506650990,,,,,http://beanhearts.ru,http://t.me/beanhearts_coffee,,https://vk.com/beanhearts.coffee,,,,,,,55.744737,52.380962,https://2gis.com/firm/70000001063296080,branch
Бинхартс кофе,ресторан,Рестораны,"Синергия, 10/6",,423601,,,Елабуга,Елабужский район,Республика Татарстан,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-19:00,+03:00,4.9,191,89050224744,,,,,http://beanhearts.ru,,,https://vk.com/beanhearts,,,,https://t.me/beanhearts_coffee,,,55.817062,52.060942,https://2gis.com/firm/70000001110002948,branch
Бинхартс кофе,ресторан,Рестораны; Доставка еды,"улица Баки Урманче, 5а",,423606,,,Елабуга,Елабужский район,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,4.9,724,89196848277,,,,,http://beanhearts.ru,,,https://vk.com/beanhearts.coffee,,,,https://t.me/beanhearts_coffee,,,55.772037,52.019246,https://2gis.com/firm/70000001099749177,branch
Бинхартс кофе,ресторан,Рестораны; Кафе,"Баки Урманче, 31Б",,423570,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,4.9,1299,89393108799,,,,,http://beanhearts.ru,,,https://vk.com/beanhearts.coffee,,,,https://t.me/beanhearts_coffee,,,55.641175,51.807531,https://2gis.com/firm/70000001055968182,branch
Бинхартс кофе,ресторан,Рестораны,"проспект Сююмбике, 40а",1 этаж,423823,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,4.8,1424,88552923943,,,,,http://beanhearts.ru,,,https://vk.com/beanhearts.coffee,,,,https://t.me/beanhearts_coffee,,,55.752492,52.410478,https://2gis.com/firm/70000001035353623,branch
Брежнев,рестоклуб,Рестораны; Ночные клубы; Бары; Караоке-залы,"проспект Раиса Беляева, 17а",2 этаж,423812,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 17:00-02:00; Вт: 17:00-02:00; Ср: 17:00-02:00; Чт: 17:00-02:00; Пт: 17:00-03:00; Сб: 17:00-03:00; Вс: 17:00-02:00,+03:00,4.6,293,89656113322,,,,,,,,https://vk.com/brezhnev_nch,https://wa.me/79656113322,,,https://t.me/+79656113322,,,55.735888,52.399079,https://2gis.com/firm/70000001091204476,branch
Al dente,ресторан,Рестораны; Банкетные залы; Кафе,"проспект Ленина, 2",1 этаж,428000,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.9,177,89373733399,,,manager-ad@mail.ru,,http://21aldente.ru,,,https://vk.com/21aldente,,,,https://t.me/+79373733399,,,56.130573,47.246637,https://2gis.com/firm/7459615163844634,branch
Art Объект,,Рестораны; Кафе,"Ярославская улица, 42",1 этаж,428003,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,81,89373744242,88352380080,,,,,,,https://vk.com/artobject.cheb,,,,https://t.me/art_object2025,,,56.14163,47.252462,https://2gis.com/firm/70000001096955212,branch
Dante,ресторан,Рестораны,"Вурнарское шоссе, 11 к2",2 этаж,428903,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.6,13,88352441515,,,,,http://t.me/danterest,,,,,,,,,,56.09605,47.259895,https://2gis.com/firm/70000001080854351,branch
Destino,ресторан,Рестораны,"улица Ильбекова, 5а",,428003,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Вс: 09:00-20:00,+03:00,5.0,8,,,,,,http://destino.myresto.online,,,,https://wa.me/79373203030,,,https://t.me/destinorest,,,56.125161,47.248713,https://2gis.com/firm/70000001101340374,branch
Jon & Joly,грузинская ресторация,Рестораны,"улица Константина Иванова, 55а",1 этаж,428003,Исторический Холм м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+03:00,4.3,22,88352588080,,,,,http://bagrationi.tilda.ws,,,https://vk.com/jon__joly,https://wa.me/79051998584,,,,,,56.152888,47.238677,https://2gis.com/firm/70000001067703980,branch
Pech`,ресторан домашней кухни,Рестораны,"проспект Тракторостроителей, 78 к2",2 этаж,428037,,Калининский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.0,163,89373857077,88352277077,,,,,,,https://vk.com/rest.pech,,,,,,,56.109478,47.331951,https://2gis.com/firm/70000001066972625,branch
R Cafe,,Рестораны; Кафе,"Ярославская улица, 27",1 этаж,428000,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 07:00-17:00; Вт: 07:00-17:00; Ср: 07:00-17:00; Чт: 07:00-17:00; Пт: 07:00-17:00; Сб: 07:00-12:00; Вс: 07:00-12:00,+03:00,4.4,12,88352201501,,,,,,,,,,,,,,,56.142307,47.254351,https://2gis.com/firm/70000001030185416,branch
River Room & Summer,,Рестораны; Бары; Ночные клубы,"Ярославская улица, 29",4 этаж,428000,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-01:00,+03:00,4.2,134,88352377237,,,,,,,,https://vk.com/river_room_che,,,,,,,56.142094,47.253505,https://2gis.com/firm/70000001038577928,branch
Toro Russo,стейк-ресторан,Рестораны,"улица Юрия Гагарина, 34",1 этаж,428022,,Калининский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.7,60,89373783333,,,manager-tr@mail.ru,,http://tororusso.ru,,,https://vk.com/tororusso21,https://wa.me/79373783333,,,,,,56.130243,47.272157,https://2gis.com/firm/7459615163892802,branch
Volzhane Rest,ресторан,Рестораны,"проспект Максима Горького, 6",1 этаж,428001,Северо-Западный м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,3.9,42,88352372244,89276672244,,,,http://t.me/volzhanerest,,,,,,,,,,56.149309,47.200776,https://2gis.com/firm/70000001058947928,branch
Архив,лофт-бар,Рестораны; Доставка еды; Банкетные залы,"Московский проспект, 3",1 этаж,428003,Исторический Холм м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.8,100,88352211031,,,archive-bar@yandex.ru,,http://arhivbar.ru,,,https://vk.com/gastrobararhiv,,,,,,,56.145394,47.233438,https://2gis.com/firm/7459615164006386,branch
Багратиони,ресторан,Рестораны; Банкетные залы; Доставка еды; Караоке-залы,"улица Константина Иванова, 55а",1-2 этаж,428003,Исторический Холм м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+03:00,4.4,85,89051998582,89033587780,88352588080,,,http://bagrationi.tilda.ws,,,https://vk.com/bagrationi_che,,,,,,,56.152914,47.238737,https://2gis.com/firm/7459615163843660,branch
Бенджамин,ресто-клуб,Рестораны; Доставка еды,"Ярославская улица, 29",1 этаж,428000,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.8,59,88352687755,,,,,,,,https://vk.com/club55031489,,,,,,,56.142042,47.253481,https://2gis.com/firm/70000001062372279,branch
Больше чем мясо,,Рестораны,"улица Карла Маркса, 47",1 этаж,428003,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 11:00-24:00,+03:00,4.4,186,89083011099,,,bolshemyaso@mail.ru,,http://большечеммясо.рф,,,https://vk.com/bolshechemmyaso,,,,https://t.me/+79083011099,,,56.134034,47.247723,https://2gis.com/firm/70000001067079431,branch
Бонджорно Bambini,семейный ресторан,Рестораны; Доставка еды,"улица Гузовского, 8а",,428034,Северо-Западный м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 09:30-23:00; Вс: 09:30-23:00 (прием заказов: пн-вс 11:00-21:00),+03:00,4.6,108,88352496293,89662496293,,,,http://buongiornobambini.ru,,,,,,,https://t.me/+79662496293,,,56.139745,47.18885,https://2gis.com/firm/70000001041246373,branch
Вкусный дом Sharden,ресторан,Рестораны,"улица Текстильщиков, 10",1 этаж,428022,,Калининский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-01:00; Сб: 10:00-01:00; Вс: 10:00-23:00,+03:00,4.4,78,88352380980,,,,,,,,https://vk.com/public141150011,,,,,,,56.14292,47.273137,https://2gis.com/firm/70000001027009334,branch
Волга Премиум,ресторан,Рестораны,"Ярославская улица, 21",1 этаж,428000,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.6,9,88352320222,88352320221,,volgapremiumhotel@yandex.ru,,http://volgaph.ru,,,https://vk.com/volgapremiumhotel,,,,,,,56.144511,47.254462,https://2gis.com/firm/70000001066627837,branch
Волжский,торгово-развлекательный комплекс,Рестораны; Торгово-развлекательные центры; Пиццерии; Компьютерные курсы; Эпиляция; Верхняя одежда; Детская одежда; Женская одежда; Мужская одежда; Ювелирные изделия; Книги; Кинотеатры; Кафе; Канцтовары,"проспект Максима Горького, 10 ст1",1-5 этаж,428001,Северо-Западный м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.8,94,88352237995,,,237995@mail.ru,,,,,https://vk.com/trc_vol,,,,,,,56.149484,47.196509,https://2gis.com/firm/7459616164225768,branch
Выставочный зал,арт-кафе,Рестораны; Банкетные залы; Кафе,"проспект Максима Горького, 2",,428001,,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.1,172,88352599878,89697599878,,,,http://parkamazonia.ru/vystavochny_zal,,,https://vk.com/vystavochny_zal21,https://wa.me/79697599878,,,https://t.me/+79697599878,,,56.147507,47.204739,https://2gis.com/firm/70000001047563216,branch
Граждане отдыхающие,ресторан,Рестораны; Банкетные залы,"Гражданская улица, 53",1 этаж,428023,Кировский посёлок м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-01:00,+03:00,4.6,162,88352672244,89023272244,,,,http://t.me/grazhdanerest,,,,https://wa.me/79023272244,,,,,,56.127848,47.214364,https://2gis.com/firm/70000001030558281,branch
Груша true cost&karaoke,,Рестораны; Караоке-залы,"улица Калинина, 89 к1",2 этаж,428022,,Калининский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-24:00 (по предварительной записи),+03:00,4.6,436,89370117731,,,,,http://grushatruecost.ru/,,,https://vk.com/grusha_truecost,https://wa.me/79370117731,,,https://t.me/+79370117731,,,56.140503,47.267027,https://2gis.com/firm/70000001083407443,branch
Дача,ресторан,Рестораны,"Университетская улица, 52",1 этаж,428034,,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-01:00; Сб: 07:30-01:00; Вс: 07:30-23:00,+03:00,3.5,26,88352237898 (ресторан),88352360388 (банкетная служба),,,,http://gardenspahotel.ru/contacts.php,http://t.me/gardenhotelandspa,,https://vk.com/gardenhotelspa,,,,https://t.me/+79674700388,,,56.12801,47.17443,https://2gis.com/firm/70000001072611361,branch
Дом Культур,кафе,Рестораны; Кафе; Бары; Доставка еды; Банкетные залы,"проспект Максима Горького, 36Б",1-2 этаж,428009,Северо-Западный м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+03:00,4.8,387,88352291019,,,zakaz@dom-kultury.com,,http://dom-kultury.com,,,https://vk.com/dom_kyltyr,,,,,,https://youtube.com/channel/UCnMhczJhCyGevKGiqggFdWA,56.149219,47.17366,https://2gis.com/firm/70000001020294023,branch
Ефремъ,ресторан русской кухни,Рестораны; Банкетные залы,"бульвар Купца Ефремова, 3","3, 4 этаж",428003,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,5.0,4,89170788830,88352765203,88352765205,,,http://smotrovayacheb.ru,http://efremrest.ru,http://t.me/efrem_rest,https://vk.com/efrem.rest,,,,,,,56.143953,47.251204,https://2gis.com/firm/70000001115165055,branch
Ехрем Хуща,ресторан,Рестораны,"бульвар Купца Ефремова, 10",цокольный этаж,428003,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.7,236,88352627379,,,exremxusa@mail.ru,,,,,https://vk.com/public117759370,,,,https://t.me/+79911980044,,,56.145065,47.252261,https://2gis.com/firm/7459615163812993,branch
Жульен,ресторан,Рестораны,"Молодёжная улица, 4",2 этаж,429951,,Восточный район,Новочебоксарск,Новочебоксарск городской округ,Чувашская Республика,Россия,Пн: 16:00-24:00; Вт: 16:00-24:00; Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-24:00; Сб: 16:00-24:00; Вс: 16:00-24:00,+03:00,2.7,6,89276696401,88352372172,,,,,,,,https://wa.me/79276696401,,,https://t.me/+79276696401,,,56.118195,47.501495,https://2gis.com/firm/7459615163963093,branch
Квели,ресторан грузинской кухни,Рестораны; Доставка еды,"улица Михаила Сеспеля, 11","1, 2 этаж",428003,Исторический Холм м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-23:00,+03:00,4.7,1338,88352755833 (служба доставки),88352203363 (ресторан),,kvelirest21@gmail.com,,http://kveli.ru/?utm_source=gis&utm_medium=map&utm_campaign=button,,,https://vk.com/kveli_rest,,,,https://t.me/kveli_rest,,,56.150973,47.249832,https://2gis.com/firm/70000001040293811,branch
Лимонад,ресторан,Рестораны; Кафе; Банкетные залы; Доставка еды,"площадь Речников, 1",1-3 этаж,428000,,Калининский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.2,78,88352494949,88352211113,,,,http://limonad.rest,http://t.me/limonad_rest,,https://vk.com/limonadlounge,,,,,,,56.147387,47.257607,https://2gis.com/firm/70000001021244032,branch
Луиджи,траттория,Рестораны; Кафе; Пиццерии; Караоке-залы,"Нижегородская улица, 4",1 этаж,428000,Исторический Холм м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 10:30-22:00; Вт: 10:30-22:00; Ср: 10:30-22:00; Чт: 10:30-22:00; Пт: 10:30-01:00; Сб: 11:30-01:00; Вс: 11:30-22:00,+03:00,4.4,66,88352595252,,,,,http://t.me/luigicheb,,,https://vk.com/luigi_restaurant,https://wa.me/79697595252,,,,,,56.146932,47.236918,https://2gis.com/firm/70000001038877217,branch
Люди как Люди,ресторан-бар,Рестораны; Бары; Доставка еды; Кафе; Караоке-залы,"Московский проспект, 31в",,428015,Северо-Западный м-н,Московский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-02:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+03:00,4.6,439,88352452775,,,,,,,,https://vk.com/cafe_ludi,,,,,,,56.143051,47.206892,https://2gis.com/firm/70000001020521602,branch
Маринад,кафе,Рестораны; Доставка еды; Банкетные залы,"Вурнарское шоссе, 11 к2",1-2 этаж,428903,,Ленинский район,Чебоксары,Чебоксары городской округ,Чувашская Республика,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (служба доставки: пн-пт 10:00-21:00; сб-вс 11:00-21:00),+03:00,3.1,100,88352593939,,,,,http://marinad21.ru,,,https://vk.com/marinad_21,,,,https://t.me/marinadrest,,,56.096064,47.259854,https://2gis.com/firm/70000001045851898,branch
